split,image,plate_text,xmin,ymin,xmax,ymax,width,height
train,TS5.jpg,TS09EA4088,106.0,232.0,173.0,246.0,272,363
train,WB9.jpg,WB02AA5580,92.0,204.0,152.0,221.0,272,366
train,WB14.jpg,WB36G6682,93.0,368.0,169.0,392.0,272,590
train,OD14.jpg,OD02L4656,89.0,187.0,168.0,205.0,271,453
train,KA1.jpg,KA03MQ6984,100.0,159.0,167.0,177.0,272,247
train,PB7.jpg,PB10DV5354,109.0,153.0,167.0,166.0,272,242
train,DL14.jpg,DL9CAU4743,89.0,217.0,165.0,235.0,272,363
train,HP13.jpg,HP34C8986,54.0,354.0,185.0,385.0,272,590
train,PY18.jpg,PY02L4602,96.0,217.0,161.0,234.0,272,363
train,KA23.jpg,KA51ML4025,106.0,238.0,158.0,249.0,272,363
train,BR6.jpg,BR7P3952,122.0,244.0,207.0,265.0,272,592
train,JH5.jpg,JH09AA2570,170.0,139.0,227.0,166.0,272,204
train,UK4.jpg,UP23K0008,89.0,348.0,180.0,368.0,272,606
train,PY5.jpg,PY01AW2814,82.0,273.0,175.0,293.0,272,484
train,HR14.jpg,HR51BU8218,84.0,266.0,185.0,289.0,272,482
train,GJ16.jpg,GJ01KC9959,105.0,149.0,177.0,165.0,272,204
train,PY16.jpg,PY01BU2406,103.0,164.0,168.0,178.0,272,204
train,MN3.jpg,MN01G0297,81.0,175.0,150.0,191.0,272,363
train,TS9.jpg,TS21J8351,94.0,67.0,144.0,79.0,272,153
train,MH18.jpg,MH12HN4507,104.0,319.0,165.0,336.0,272,544
train,WB4.jpg,WB02X8795,119.0,268.0,191.0,292.0,272,363
train,OD16.jpg,OR14U8730,83.0,331.0,171.0,351.0,272,604
train,KL14.jpg,KL03S6394,154.0,224.0,223.0,261.0,272,363
train,PY6.jpg,PY01AP0555,93.0,262.0,182.0,281.0,272,363
train,JK17.jpg,JK02AS3888,67.0,269.0,180.0,293.0,272,363
train,NL9.jpg,NL02C6709,69.0,418.0,167.0,446.0,272,572
train,WB16.jpg,WB06J9177,96.0,253.0,165.0,269.0,272,363
train,MH11.jpg,MH36H5700,110.0,192.0,159.0,202.0,272,363
train,HR1.jpg,HR26BQ8176,101.0,273.0,181.0,289.0,272,363
train,AS13.jpg,AS25S6858,120.0,111.0,170.0,122.0,272,179
train,KA25.jpg,KA38M8037,65.0,344.0,178.0,370.0,271,546
train,HR2.jpg,HR71F9259,109.0,137.0,184.0,153.0,272,204
train,KA10.jpg,KA04MG7528,98.0,165.0,172.0,184.0,272,250
train,JH10.jpg,JH02AD2533,123.0,289.0,173.0,304.0,272,604
train,AP15.jpg,AP28AT5333,93.0,240.0,203.0,260.0,272,363
train,ML19.jpg,ML04C0056,104.0,298.0,188.0,319.0,272,483
train,MH17.jpg,MH01BT7906,106.0,340.0,170.0,357.0,272,484
train,RJ4.jpg,RJ20CD5118,87.0,250.0,183.0,272.0,272,363
train,PB14.jpg,PB10EH0164,111.0,261.0,202.0,280.0,272,363
train,AP23.jpg,AP39DL3537,78.0,223.0,136.0,234.0,272,363
train,DL22.jpg,DL6CL0457,104.0,230.0,168.0,245.0,272,363
train,OD27.jpg,OD25F7400,119.0,130.0,176.0,142.0,272,183
train,BR18.jpg,BR01BD5042,91.0,338.0,198.0,360.0,272,484
train,OD13.jpg,OD052323,97.0,95.0,156.0,110.0,272,129
train,HR9.jpg,HR29AS0015,104.0,210.0,168.0,224.0,272,315
train,DL29.jpg,DL8CAL4134,103.0,276.0,177.0,300.0,272,364
train,DL16.jpg,DL9CAV1739,91.0,227.0,167.0,244.0,272,484
train,KL3.jpg,KL02AF6723,39.0,216.0,87.0,243.0,272,370
train,KA24.jpg,KA25P5080,140.0,156.0,209.0,176.0,272,216
train,KA16.jpg,KA03NC7167,93.0,183.0,182.0,200.0,272,255
train,OD3.jpg,OD02V0007,107.0,82.0,165.0,97.0,272,153
train,HR19.jpg,HR29AQ4939,100.0,147.0,167.0,161.0,271,185
train,NL7.jpg,NL01T8152,96.0,233.0,166.0,249.0,272,272
train,JK4.jpg,JK01M4723,55.0,296.0,145.0,335.0,271,503
train,GJ10.jpg,GJ01RA8370,117.0,149.0,164.0,160.0,272,204
train,HP19.jpg,HP54C6564,105.0,183.0,167.0,197.0,272,306
train,NL2.jpg,NL01CB433,77.0,303.0,178.0,332.0,271,333
train,JK32.jpg,JK13C4452,163.0,199.0,211.0,219.0,271,220
train,BR13.jpg,BR01PL7594,97.0,196.0,166.0,213.0,272,363
train,ML30.jpg,ML05C5389,49.0,222.0,106.0,236.0,167,363
train,KA5.jpg,KA53P7604,108.0,130.0,169.0,144.0,272,204
train,UP12.jpg,UP14CV7920,101.0,286.0,175.0,303.0,272,574
train,CH3.jpg,CH03K7672,55.0,270.0,144.0,291.0,272,363
train,ML8.jpg,ML087084,189.0,233.0,260.0,274.0,272,363
